Name	Role	Company	Attended
Alonso Fernandez	Globa Head of Products	NTT Data Inc	MWC26 Barcelona
Alper Terlemez	GM	Smartmic	MWC26 Barcelona
Alper Yegin	CEO	LoRa Alliance	MWC26 Barcelona
Alper Tunga Sagu Burak	CEO	Odine	MWC26 Barcelona
Alpha Camara	CHIEF FINANCIAL OFFICER	Webbfontaine Guinea	MWC26 Barcelona
Alpheus Mangale	Group Chief Executive Officer	Seacom	MWC26 Barcelona
Alvaro Eguinoa	Managing Director	SAFETWICE	MWC26 Barcelona
Alvaro Fernandez De Araoz	CEO	Correcta Digital	MWC26 Barcelona
Alvaro L. Revuelta	Founder	Bilinear Labs	MWC26 Barcelona
Alvaro León Camacho	partner	EY	MWC26 Barcelona
Alvaro Loeschbor	ceo	esolutions	MWC26 Barcelona
Alvaro Rocha	SVP CALA	WESCO ANIXTER	MWC26 Barcelona
Alvaro Rojas	CO-CEO	DISTESA	MWC26 Barcelona
Alvaro Vigil Rodriguez	Sales Director EMEA	MedUX	MWC26 Barcelona
Alvis Huang	Founder & CEO	EMTAR Technologies Inc	MWC26 Barcelona
Aly Govani	CEO	Airfind	MWC26 Barcelona
Alysson Gabriel Rosa	COO	KDM INTERNET TELECOMUNICAÇÕES LTDA	MWC26 Barcelona
Ama Adorkor Edjah	Chief Finance Officer	PPL Net Ghana Ltd	MWC26 Barcelona
Amadou Niang	Key Account Manager Angola	Ericsson	MWC26 Barcelona
Amaka Ezike	CFO	FBIS Technologies LTD	MWC26 Barcelona
Amalia Capilla	CEO	Miramoon Pharma	MWC26 Barcelona
Amanda Brock	CEO	OPEN UK	MWC26 Barcelona
Amanda Wei	CMO Europe	oppo	MWC26 Barcelona
Amane Dannouni	Managing Director and Partner	Boston Consulting Group (BCG)	MWC26 Barcelona
Amane Oshima	President & CEO	Japan ICT Fund	MWC26 Barcelona
Amare Tadesse	Sales Director	Huawei Technologies Co., Ltd	3 MWCs
Amaury Touzelet	Head of Sales Europe	Lillybelle	MWC26 Barcelona
Ambar Amleh	Managing Partner	Ibtikar Fund	MWC26 Barcelona
Amelia Liu	COO&Co-founder	StarWin	MWC26 Barcelona
Amer Abubaker	CSO	MOSECO	MWC26 Barcelona
Amer Atallah	CSO UAE office	ZTE Corporation	MWC26 Barcelona
Amer Gilani	Head of Business Development	Smart Forum	MWC26 Barcelona
Amer Gilani	VP Commercial	Evamp & Saanga	MWC26 Barcelona
Americo Lenza	Business Development	Trackimo	MWC26 Barcelona
Amir Barnea	VP Sales	Hybrid Access	MWC26 Barcelona
Amir Ghaly	CEO	Synteligo	MWC26 Barcelona
Amir Kandel	Sales Director	HEQA Security	MWC26 Barcelona
Amir Lugasi	CSO	Flycomm	MWC26 Barcelona
Amir Meir	CTO	Ubiqam	MWC26 Barcelona
Amir Yafe	SVP, Sales & Business Development	Gilat Satellite Networks	MWC26 Barcelona
Amirata Gharehgazlou	VP Operations	Data Access Solutions Inc	MWC26 Barcelona
Amit Arora	CEO	SARVASYA PTE LIMITED	MWC26 Barcelona
Amit Gupta	Chief Business Officer	Amantya Technologies Private Limited	MWC26 Barcelona
Amit Gupta	Chief Sales Officer	Gunship Technologies	MWC26 Barcelona
Amit Jain	SVP / GM In-Building Networks	Airspan Networks	MWC26 Barcelona
Amit Jaju	Senior Managing Director	Ankura Consulting	MWC26 Barcelona
Amit Kalley	CEO	Infosys Equinox	MWC26 Barcelona
Amit Pasari	CEO	XS INFOSOL PRIVATE LIMITED	MWC26 Barcelona
Amit Relan	CEO & Co-Founder	mFilterIt	MWC26 Barcelona
Amit Segev	CTO & Co Founder	Avon AI	MWC26 Barcelona
Amitabh Mathur	Co-founder & Chief Operating Officer	Truminds Software Systems	2 MWCs
Amitabh Pandey	Managing Director & President - Ericsson Sri Lanka & Maldives	Ericsson	MWC26 Barcelona
Ammar Osman	VP & CTO	Grand Block Technologies LLC.	2 MWCs
Amr Mohamed	Founder & CEO	Neumetria	MWC26 Barcelona
Amrish Goyal	President	LifeStation	MWC26 Barcelona
Amrit Ashish Rai	senior director	GigHub Systems INC	MWC26 Barcelona
